▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.86.37:3000
- Environments: .env.local
- Experiments (use with caution):
  ⨯ turbopackFileSystemCacheForDev

✓ Starting...
✓ Ready in 990ms
 GET / 200 in 51ms (compile: 3ms, proxy.ts: 4ms, render: 44ms)
 GET / 200 in 31ms (compile: 3ms, proxy.ts: 7ms, render: 20ms)
 GET / 200 in 46ms (compile: 5ms, proxy.ts: 4ms, render: 37ms)
 GET / 200 in 38ms (compile: 4ms, proxy.ts: 6ms, render: 28ms)
 GET / 200 in 33ms (compile: 6ms, proxy.ts: 4ms, render: 23ms)
 GET / 200 in 28ms (compile: 4ms, proxy.ts: 4ms, render: 20ms)
 GET / 200 in 48ms (compile: 4ms, proxy.ts: 5ms, render: 39ms)
 GET / 200 in 51ms (compile: 3ms, proxy.ts: 5ms, render: 43ms)
 GET / 200 in 50ms (compile: 4ms, proxy.ts: 5ms, render: 41ms)
 GET / 200 in 45ms (compile: 3ms, proxy.ts: 4ms, render: 39ms)
 GET / 200 in 30ms (compile: 4ms, proxy.ts: 5ms, render: 21ms)
 GET / 200 in 29ms (compile: 3ms, proxy.ts: 4ms, render: 22ms)
 GET / 200 in 34ms (compile: 5ms, proxy.ts: 6ms, render: 23ms)
 GET / 200 in 53ms (compile: 3ms, proxy.ts: 9ms, render: 42ms)
 GET / 200 in 52ms (compile: 4ms, proxy.ts: 6ms, render: 42ms)
 GET / 200 in 48ms (compile: 3ms, proxy.ts: 5ms, render: 39ms)
 GET / 200 in 29ms (compile: 2ms, proxy.ts: 6ms, render: 21ms)
 GET / 200 in 48ms (compile: 3ms, proxy.ts: 5ms, render: 41ms)
 GET / 200 in 58ms (compile: 3ms, proxy.ts: 6ms, render: 49ms)
 GET / 200 in 49ms (compile: 6ms, proxy.ts: 4ms, render: 39ms)
 GET / 200 in 30ms (compile: 3ms, proxy.ts: 4ms, render: 23ms)
 GET / 200 in 52ms (compile: 5ms, proxy.ts: 5ms, render: 42ms)
 GET / 200 in 56ms (compile: 4ms, proxy.ts: 7ms, render: 45ms)
 GET / 200 in 50ms (compile: 3ms, proxy.ts: 7ms, render: 40ms)
 GET / 200 in 33ms (compile: 5ms, proxy.ts: 5ms, render: 23ms)
 GET / 200 in 29ms (compile: 3ms, proxy.ts: 4ms, render: 22ms)
 GET / 200 in 29ms (compile: 4ms, proxy.ts: 5ms, render: 20ms)
 GET / 200 in 29ms (compile: 3ms, proxy.ts: 5ms, render: 21ms)
 GET / 200 in 32ms (compile: 4ms, proxy.ts: 5ms, render: 23ms)
 GET / 200 in 48ms (compile: 4ms, proxy.ts: 6ms, render: 38ms)
 GET / 200 in 29ms (compile: 3ms, proxy.ts: 5ms, render: 21ms)
 GET / 200 in 32ms (compile: 6ms, proxy.ts: 4ms, render: 22ms)
 GET / 200 in 31ms (compile: 3ms, proxy.ts: 4ms, render: 23ms)
 GET / 200 in 61ms (compile: 6ms, proxy.ts: 6ms, render: 50ms)
 GET / 200 in 46ms (compile: 3ms, proxy.ts: 5ms, render: 38ms)
 GET / 200 in 52ms (compile: 3ms, proxy.ts: 4ms, render: 44ms)
