▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.86.37:3000
- Environments: .env.local
- Experiments (use with caution):
  ⨯ turbopackFileSystemCacheForDev

✓ Starting...
✓ Ready in 1003ms
 GET /login 200 in 119ms (compile: 16ms, proxy.ts: 24ms, render: 79ms)
 GET /test-badge-grid 200 in 91ms (compile: 6ms, proxy.ts: 20ms, render: 65ms)
 GET /login 200 in 96ms (compile: 8ms, proxy.ts: 26ms, render: 63ms)
 GET /test-badge-grid 200 in 89ms (compile: 19ms, proxy.ts: 5ms, render: 65ms)
 GET /login 200 in 94ms (compile: 8ms, proxy.ts: 21ms, render: 65ms)
 GET /test-badge-grid 200 in 100ms (compile: 25ms, proxy.ts: 8ms, render: 67ms)
 GET /login 200 in 94ms (compile: 4ms, proxy.ts: 22ms, render: 68ms)
 GET /test-badge-grid 200 in 99ms (compile: 9ms, proxy.ts: 21ms, render: 69ms)
 GET /login 200 in 97ms (compile: 6ms, proxy.ts: 27ms, render: 64ms)
 GET /test-badge-grid 200 in 95ms (compile: 9ms, proxy.ts: 20ms, render: 67ms)
 GET /login 200 in 95ms (compile: 4ms, proxy.ts: 24ms, render: 66ms)
 GET /test-badge-grid 200 in 97ms (compile: 5ms, proxy.ts: 20ms, render: 71ms)
 GET /login 200 in 126ms (compile: 7ms, proxy.ts: 24ms, render: 95ms)
 GET /test-badge-grid 200 in 107ms (compile: 9ms, proxy.ts: 22ms, render: 76ms)
 GET /login 200 in 104ms (compile: 7ms, proxy.ts: 24ms, render: 73ms)
 GET /test-badge-grid 200 in 110ms (compile: 5ms, proxy.ts: 22ms, render: 82ms)
 GET /login 200 in 109ms (compile: 4ms, proxy.ts: 33ms, render: 72ms)
 GET /test-badge-grid 200 in 100ms (compile: 6ms, proxy.ts: 20ms, render: 73ms)
 GET /login 200 in 100ms (compile: 6ms, proxy.ts: 31ms, render: 63ms)
 GET /test-badge-grid 200 in 93ms (compile: 8ms, proxy.ts: 20ms, render: 65ms)
 GET /login 200 in 94ms (compile: 6ms, proxy.ts: 22ms, render: 66ms)
 GET /test-badge-grid 200 in 92ms (compile: 6ms, proxy.ts: 20ms, render: 66ms)
 GET /login 200 in 96ms (compile: 7ms, proxy.ts: 24ms, render: 65ms)
 GET /test-badge-grid 200 in 91ms (compile: 6ms, proxy.ts: 22ms, render: 64ms)
 GET /login 200 in 95ms (compile: 5ms, proxy.ts: 21ms, render: 68ms)
 GET /test-badge-grid 200 in 101ms (compile: 6ms, proxy.ts: 23ms, render: 72ms)
 GET /login 200 in 101ms (compile: 4ms, proxy.ts: 21ms, render: 76ms)
 GET /test-badge-grid 200 in 101ms (compile: 10ms, proxy.ts: 24ms, render: 67ms)
 GET /login 200 in 117ms (compile: 6ms, proxy.ts: 28ms, render: 83ms)
 GET /test-badge-grid 200 in 110ms (compile: 9ms, proxy.ts: 20ms, render: 81ms)
 GET /login 200 in 109ms (compile: 7ms, proxy.ts: 23ms, render: 79ms)
 GET /test-badge-grid 200 in 110ms (compile: 7ms, proxy.ts: 38ms, render: 64ms)
 GET /login 200 in 95ms (compile: 9ms, proxy.ts: 20ms, render: 66ms)
 GET /test-badge-grid 200 in 95ms (compile: 5ms, proxy.ts: 21ms, render: 69ms)
 GET /login 200 in 98ms (compile: 10ms, proxy.ts: 20ms, render: 69ms)
 GET /test-badge-grid 200 in 98ms (compile: 5ms, proxy.ts: 24ms, render: 68ms)
 GET /login 200 in 99ms (compile: 7ms, proxy.ts: 22ms, render: 70ms)
 GET /test-badge-grid 200 in 101ms (compile: 5ms, proxy.ts: 26ms, render: 70ms)
 GET /login 200 in 105ms (compile: 5ms, proxy.ts: 23ms, render: 77ms)
 GET /test-badge-grid 200 in 100ms (compile: 11ms, proxy.ts: 20ms, render: 69ms)
 GET /login 200 in 106ms (compile: 8ms, proxy.ts: 26ms, render: 72ms)
 GET /test-badge-grid 200 in 101ms (compile: 8ms, proxy.ts: 26ms, render: 67ms)
 GET /login 200 in 101ms (compile: 9ms, proxy.ts: 20ms, render: 72ms)
 GET /test-badge-grid 200 in 110ms (compile: 9ms, proxy.ts: 25ms, render: 77ms)
 GET /login 200 in 115ms (compile: 6ms, proxy.ts: 23ms, render: 87ms)
 GET /test-badge-grid 200 in 111ms (compile: 6ms, proxy.ts: 27ms, render: 77ms)
 GET /login 200 in 109ms (compile: 14ms, proxy.ts: 21ms, render: 74ms)
 GET /test-badge-grid 200 in 105ms (compile: 7ms, proxy.ts: 30ms, render: 68ms)
