
> fin@0.2.0 dev
> next dev --port 3000

▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.86.37:3000
- Environments: .env.local
- Experiments (use with caution):
  ⨯ turbopackFileSystemCacheForDev

✓ Starting...
✓ Ready in 948ms
 GET /login 200 in 32ms (compile: 3ms, proxy.ts: 5ms, render: 24ms)
 GET /login 200 in 28ms (compile: 4ms, proxy.ts: 6ms, render: 18ms)
 GET /login 200 in 27ms (compile: 3ms, proxy.ts: 3ms, render: 21ms)
 GET /login 200 in 32ms (compile: 4ms, proxy.ts: 4ms, render: 24ms)
 GET /login 200 in 32ms (compile: 4ms, proxy.ts: 8ms, render: 20ms)
 GET /login 200 in 24ms (compile: 4ms, proxy.ts: 4ms, render: 16ms)
 GET /login 200 in 30ms (compile: 3ms, proxy.ts: 7ms, render: 21ms)
 GET /login 200 in 26ms (compile: 3ms, proxy.ts: 5ms, render: 17ms)
 GET /login 200 in 29ms (compile: 6ms, proxy.ts: 3ms, render: 19ms)
 GET /login 200 in 32ms (compile: 4ms, proxy.ts: 7ms, render: 22ms)
 GET /login 200 in 32ms (compile: 4ms, proxy.ts: 4ms, render: 23ms)
 GET /login 200 in 34ms (compile: 4ms, proxy.ts: 6ms, render: 24ms)
 GET /login 200 in 31ms (compile: 7ms, proxy.ts: 5ms, render: 20ms)
 GET /login 200 in 27ms (compile: 3ms, proxy.ts: 5ms, render: 19ms)
 GET /login 200 in 31ms (compile: 5ms, proxy.ts: 5ms, render: 21ms)
 GET /login 200 in 40ms (compile: 3ms, proxy.ts: 6ms, render: 31ms)
 GET /login 200 in 28ms (compile: 6ms, proxy.ts: 5ms, render: 17ms)
 GET /login 200 in 21ms (compile: 3ms, proxy.ts: 4ms, render: 14ms)
 GET /login 200 in 23ms (compile: 2ms, proxy.ts: 3ms, render: 18ms)
 GET /login 200 in 28ms (compile: 4ms, proxy.ts: 3ms, render: 21ms)
 GET /login 200 in 31ms (compile: 5ms, proxy.ts: 6ms, render: 21ms)
 GET /login 200 in 26ms (compile: 3ms, proxy.ts: 4ms, render: 19ms)
 GET /login 200 in 22ms (compile: 5ms, proxy.ts: 4ms, render: 13ms)
 GET /login 200 in 22ms (compile: 2ms, proxy.ts: 5ms, render: 14ms)
 GET /login 200 in 24ms (compile: 2ms, proxy.ts: 4ms, render: 18ms)
 GET /login 200 in 29ms (compile: 3ms, proxy.ts: 3ms, render: 23ms)
 GET /login 200 in 28ms (compile: 4ms, proxy.ts: 5ms, render: 18ms)
 GET /login 200 in 28ms (compile: 3ms, proxy.ts: 5ms, render: 20ms)
 GET /login 200 in 23ms (compile: 3ms, proxy.ts: 3ms, render: 17ms)
 GET /login 200 in 24ms (compile: 3ms, proxy.ts: 4ms, render: 16ms)
 GET /login 200 in 40ms (compile: 3ms, proxy.ts: 5ms, render: 33ms)
 GET /login 200 in 32ms (compile: 2ms, proxy.ts: 3ms, render: 27ms)
 GET /login 200 in 30ms (compile: 5ms, proxy.ts: 4ms, render: 22ms)
 GET /login 200 in 24ms (compile: 3ms, proxy.ts: 3ms, render: 18ms)
 GET /login 200 in 43ms (compile: 4ms, proxy.ts: 3ms, render: 36ms)
 GET /login 200 in 23ms (compile: 3ms, proxy.ts: 4ms, render: 16ms)
 GET /login 200 in 22ms (compile: 2ms, proxy.ts: 4ms, render: 16ms)
 GET /login 200 in 27ms (compile: 4ms, proxy.ts: 4ms, render: 20ms)
 GET /login 200 in 26ms (compile: 5ms, proxy.ts: 5ms, render: 17ms)
 GET /login 200 in 31ms (compile: 2ms, proxy.ts: 4ms, render: 24ms)
 GET /login 200 in 31ms (compile: 6ms, proxy.ts: 4ms, render: 21ms)
 GET /login 200 in 34ms (compile: 3ms, proxy.ts: 5ms, render: 26ms)
 GET /login 200 in 71ms (compile: 7ms, proxy.ts: 6ms, render: 59ms)
 GET /login 200 in 65ms (compile: 5ms, proxy.ts: 8ms, render: 52ms)
 GET /login 200 in 64ms (compile: 4ms, proxy.ts: 9ms, render: 51ms)
 GET /login 200 in 41ms (compile: 4ms, proxy.ts: 7ms, render: 29ms)
 GET /login 200 in 36ms (compile: 6ms, proxy.ts: 6ms, render: 24ms)
 GET /login 200 in 44ms (compile: 6ms, proxy.ts: 4ms, render: 34ms)
 GET /login 200 in 36ms (compile: 5ms, proxy.ts: 6ms, render: 25ms)
 GET /login 200 in 31ms (compile: 6ms, proxy.ts: 5ms, render: 20ms)
 GET /login 200 in 34ms (compile: 4ms, proxy.ts: 5ms, render: 25ms)
 GET /login 200 in 34ms (compile: 4ms, proxy.ts: 6ms, render: 24ms)
 GET /login 200 in 30ms (compile: 5ms, proxy.ts: 4ms, render: 22ms)
 GET /login 200 in 38ms (compile: 3ms, proxy.ts: 5ms, render: 30ms)
 GET /login 200 in 34ms (compile: 4ms, proxy.ts: 6ms, render: 25ms)
 GET /login 200 in 31ms (compile: 5ms, proxy.ts: 5ms, render: 21ms)
 GET /login 200 in 33ms (compile: 3ms, proxy.ts: 4ms, render: 25ms)
 GET /login 200 in 31ms (compile: 4ms, proxy.ts: 6ms, render: 21ms)
 GET /login 200 in 31ms (compile: 3ms, proxy.ts: 4ms, render: 23ms)
 GET /login 200 in 31ms (compile: 5ms, proxy.ts: 5ms, render: 21ms)
 GET /login 200 in 30ms (compile: 3ms, proxy.ts: 4ms, render: 23ms)
 GET /login 200 in 31ms (compile: 6ms, proxy.ts: 5ms, render: 20ms)
 GET /login 200 in 24ms (compile: 3ms, proxy.ts: 4ms, render: 17ms)
 GET /login 200 in 55ms (compile: 3ms, proxy.ts: 4ms, render: 48ms)
 GET /login 200 in 27ms (compile: 4ms, proxy.ts: 4ms, render: 19ms)
 GET /login 200 in 30ms (compile: 3ms, proxy.ts: 7ms, render: 20ms)
 GET /login 200 in 27ms (compile: 3ms, proxy.ts: 5ms, render: 19ms)
 GET /login 200 in 31ms (compile: 5ms, proxy.ts: 4ms, render: 22ms)
 GET /login 200 in 26ms (compile: 3ms, proxy.ts: 7ms, render: 17ms)
