▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3130
- Network:       http://192.168.86.37:3130
- Environments: .env.local
- Experiments (use with caution):
  ⨯ turbopackFileSystemCacheForDev

✓ Starting...
✓ Ready in 1089ms
 GET /login 200 in 38ms (compile: 5ms, proxy.ts: 6ms, render: 27ms)
 GET /login 200 in 71ms (compile: 7ms, proxy.ts: 8ms, render: 55ms)
 GET /login 200 in 35ms (compile: 5ms, proxy.ts: 5ms, render: 25ms)
 GET /login 200 in 33ms (compile: 4ms, proxy.ts: 5ms, render: 24ms)
 GET /login 200 in 51ms (compile: 5ms, proxy.ts: 6ms, render: 41ms)
 GET /login 200 in 55ms (compile: 4ms, proxy.ts: 4ms, render: 47ms)
 GET /login 200 in 52ms (compile: 4ms, proxy.ts: 5ms, render: 43ms)
 GET /login 200 in 35ms (compile: 3ms, proxy.ts: 5ms, render: 27ms)
 GET /login 200 in 52ms (compile: 6ms, proxy.ts: 5ms, render: 40ms)
 GET /login 200 in 53ms (compile: 3ms, proxy.ts: 4ms, render: 46ms)
 GET /login 200 in 55ms (compile: 3ms, proxy.ts: 6ms, render: 46ms)
 GET /login 200 in 57ms (compile: 5ms, proxy.ts: 6ms, render: 45ms)
 GET /login 200 in 59ms (compile: 4ms, proxy.ts: 6ms, render: 48ms)
 GET /login 200 in 63ms (compile: 4ms, proxy.ts: 7ms, render: 52ms)
 GET /login 200 in 61ms (compile: 4ms, proxy.ts: 8ms, render: 48ms)
 GET /login 200 in 37ms (compile: 4ms, proxy.ts: 7ms, render: 25ms)
 GET /login 200 in 39ms (compile: 5ms, proxy.ts: 4ms, render: 30ms)
 GET /login 200 in 43ms (compile: 5ms, proxy.ts: 7ms, render: 30ms)
 GET /login 200 in 60ms (compile: 12ms, proxy.ts: 5ms, render: 44ms)
 GET /login 200 in 51ms (compile: 4ms, proxy.ts: 5ms, render: 42ms)
 GET /login 200 in 33ms (compile: 3ms, proxy.ts: 5ms, render: 25ms)
 GET /login 200 in 39ms (compile: 5ms, proxy.ts: 6ms, render: 28ms)
 GET /login 200 in 60ms (compile: 6ms, proxy.ts: 7ms, render: 47ms)
 GET /login 200 in 53ms (compile: 6ms, proxy.ts: 6ms, render: 42ms)
 GET /login 200 in 33ms (compile: 4ms, proxy.ts: 5ms, render: 24ms)
 GET /login 200 in 55ms (compile: 4ms, proxy.ts: 5ms, render: 45ms)
 GET /login 200 in 56ms (compile: 4ms, proxy.ts: 4ms, render: 47ms)
 GET /login 200 in 37ms (compile: 4ms, proxy.ts: 7ms, render: 26ms)
 GET /login 200 in 37ms (compile: 5ms, proxy.ts: 7ms, render: 26ms)
 GET /login 200 in 36ms (compile: 6ms, proxy.ts: 6ms, render: 24ms)
 GET /login 200 in 61ms (compile: 5ms, proxy.ts: 7ms, render: 49ms)
 GET /login 200 in 60ms (compile: 5ms, proxy.ts: 6ms, render: 49ms)
 GET /login 200 in 62ms (compile: 4ms, proxy.ts: 6ms, render: 52ms)
 GET /login 200 in 35ms (compile: 5ms, proxy.ts: 6ms, render: 25ms)
✓ Compiled in 196ms
 GET /login 404 in 768ms (compile: 499ms, proxy.ts: 61ms, render: 207ms)
 GET /login 200 in 196ms (compile: 28ms, proxy.ts: 9ms, render: 159ms)
 GET /login 200 in 139ms (compile: 13ms, proxy.ts: 87ms, render: 38ms)
 GET /login 200 in 255ms (compile: 63ms, proxy.ts: 12ms, render: 180ms)
✓ Compiled in 181ms
⨯ Error: Cannot find module '../../chunks/ssr/[turbopack]_runtime.js'
Require stack:
