▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.86.37:3000
- Environments: .env.local
- Experiments (use with caution):
  ⨯ turbopackFileSystemCacheForDev

✓ Starting...
✓ Ready in 1079ms
 GET /login 200 in 71ms (compile: 5ms, proxy.ts: 5ms, render: 60ms)
 GET /login 200 in 40ms (compile: 4ms, proxy.ts: 8ms, render: 28ms)
 GET /login 200 in 33ms (compile: 4ms, proxy.ts: 7ms, render: 22ms)
 GET /login 200 in 50ms (compile: 4ms, proxy.ts: 4ms, render: 41ms)
 GET /login 200 in 48ms (compile: 4ms, proxy.ts: 5ms, render: 39ms)
 GET /login 200 in 33ms (compile: 4ms, proxy.ts: 5ms, render: 23ms)
 GET /login 200 in 31ms (compile: 4ms, proxy.ts: 6ms, render: 21ms)
 GET /login 200 in 53ms (compile: 6ms, proxy.ts: 4ms, render: 43ms)
 GET /login 200 in 55ms (compile: 3ms, proxy.ts: 5ms, render: 47ms)
 GET /login 200 in 37ms (compile: 4ms, proxy.ts: 7ms, render: 27ms)
 GET /login 200 in 36ms (compile: 6ms, proxy.ts: 5ms, render: 24ms)
 GET /login 200 in 38ms (compile: 4ms, proxy.ts: 5ms, render: 28ms)
 GET /login 200 in 30ms (compile: 5ms, proxy.ts: 6ms, render: 19ms)
 GET /login 200 in 30ms (compile: 4ms, proxy.ts: 4ms, render: 21ms)
 GET /login 200 in 31ms (compile: 4ms, proxy.ts: 5ms, render: 22ms)
 GET /login 200 in 32ms (compile: 5ms, proxy.ts: 5ms, render: 23ms)
 GET /login 200 in 63ms (compile: 5ms, proxy.ts: 6ms, render: 52ms)
 GET /login 200 in 43ms (compile: 12ms, proxy.ts: 5ms, render: 25ms)
 GET /login 200 in 61ms (compile: 5ms, proxy.ts: 6ms, render: 51ms)
 GET /login 200 in 42ms (compile: 13ms, proxy.ts: 6ms, render: 22ms)
 GET /login 200 in 31ms (compile: 5ms, proxy.ts: 4ms, render: 22ms)
 GET /login 200 in 30ms (compile: 4ms, proxy.ts: 5ms, render: 21ms)
 GET /login 200 in 31ms (compile: 5ms, proxy.ts: 4ms, render: 21ms)
 GET /login 200 in 29ms (compile: 3ms, proxy.ts: 5ms, render: 21ms)
 GET /login 200 in 29ms (compile: 5ms, proxy.ts: 4ms, render: 20ms)
