
> fin@0.2.0 dev
> next dev --port 3000

▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.86.37:3000
- Environments: .env.local
- Experiments (use with caution):
  ⨯ turbopackFileSystemCacheForDev

✓ Starting...
✓ Ready in 970ms
 GET /test-file-size-limit 200 in 98ms (compile: 4ms, proxy.ts: 27ms, render: 67ms)
 GET / 200 in 115ms (compile: 7ms, proxy.ts: 22ms, render: 86ms)
 GET /test-file-size-limit 200 in 97ms (compile: 5ms, proxy.ts: 25ms, render: 67ms)
 GET / 200 in 118ms (compile: 7ms, proxy.ts: 19ms, render: 92ms)
 GET /test-file-size-limit 200 in 98ms (compile: 7ms, proxy.ts: 22ms, render: 69ms)
 GET / 200 in 126ms (compile: 8ms, proxy.ts: 22ms, render: 96ms)
 GET /test-file-size-limit 200 in 120ms (compile: 6ms, proxy.ts: 23ms, render: 91ms)
 GET / 200 in 129ms (compile: 7ms, proxy.ts: 21ms, render: 101ms)
 GET /test-file-size-limit 200 in 109ms (compile: 6ms, proxy.ts: 26ms, render: 77ms)
 GET / 200 in 126ms (compile: 8ms, proxy.ts: 25ms, render: 93ms)
 GET /test-file-size-limit 200 in 102ms (compile: 5ms, proxy.ts: 31ms, render: 66ms)
 GET / 200 in 118ms (compile: 7ms, proxy.ts: 19ms, render: 92ms)
 GET /test-file-size-limit 200 in 99ms (compile: 6ms, proxy.ts: 22ms, render: 71ms)
 GET / 200 in 128ms (compile: 9ms, proxy.ts: 21ms, render: 97ms)
 GET /test-file-size-limit 200 in 105ms (compile: 8ms, proxy.ts: 24ms, render: 73ms)
 GET / 200 in 127ms (compile: 7ms, proxy.ts: 23ms, render: 98ms)
 GET /test-file-size-limit 200 in 106ms (compile: 8ms, proxy.ts: 23ms, render: 74ms)
 GET / 200 in 127ms (compile: 8ms, proxy.ts: 27ms, render: 93ms)
 GET /test-file-size-limit 200 in 102ms (compile: 8ms, proxy.ts: 24ms, render: 70ms)
 GET / 200 in 120ms (compile: 6ms, proxy.ts: 22ms, render: 92ms)
 GET /test-file-size-limit 200 in 115ms (compile: 7ms, proxy.ts: 23ms, render: 85ms)
 GET / 200 in 115ms (compile: 8ms, proxy.ts: 23ms, render: 85ms)
 GET /test-file-size-limit 200 in 121ms (compile: 7ms, proxy.ts: 24ms, render: 90ms)
 GET / 200 in 128ms (compile: 8ms, proxy.ts: 22ms, render: 98ms)
 GET /test-file-size-limit 200 in 124ms (compile: 8ms, proxy.ts: 20ms, render: 96ms)
 GET / 200 in 137ms (compile: 31ms, proxy.ts: 4ms, render: 101ms)
 GET /test-file-size-limit 200 in 129ms (compile: 8ms, proxy.ts: 24ms, render: 97ms)
 GET / 200 in 132ms (compile: 21ms, proxy.ts: 9ms, render: 102ms)
 GET /test-file-size-limit 200 in 110ms (compile: 6ms, proxy.ts: 14ms, render: 90ms)
 GET / 200 in 126ms (compile: 24ms, proxy.ts: 12ms, render: 89ms)
 GET /test-file-size-limit 200 in 95ms (compile: 7ms, proxy.ts: 8ms, render: 80ms)
 GET / 200 in 123ms (compile: 23ms, proxy.ts: 7ms, render: 93ms)
 GET /test-file-size-limit 200 in 104ms (compile: 4ms, proxy.ts: 10ms, render: 90ms)
 GET / 200 in 107ms (compile: 19ms, proxy.ts: 7ms, render: 80ms)
 GET /test-file-size-limit 200 in 102ms (compile: 8ms, proxy.ts: 10ms, render: 84ms)
 GET / 200 in 126ms (compile: 25ms, proxy.ts: 11ms, render: 91ms)
 GET /test-file-size-limit 200 in 97ms (compile: 6ms, proxy.ts: 9ms, render: 82ms)
 GET / 200 in 141ms (compile: 21ms, proxy.ts: 6ms, render: 115ms)
 GET /test-file-size-limit 200 in 104ms (compile: 5ms, proxy.ts: 10ms, render: 89ms)
 GET / 200 in 126ms (compile: 20ms, proxy.ts: 9ms, render: 97ms)
 GET /test-file-size-limit 200 in 129ms (compile: 16ms, proxy.ts: 22ms, render: 91ms)
 GET / 200 in 122ms (compile: 27ms, proxy.ts: 9ms, render: 86ms)
 GET /test-file-size-limit 200 in 114ms (compile: 5ms, proxy.ts: 10ms, render: 99ms)
 GET / 200 in 118ms (compile: 20ms, proxy.ts: 8ms, render: 90ms)
 GET /test-file-size-limit 200 in 109ms (compile: 10ms, proxy.ts: 9ms, render: 91ms)
 GET / 200 in 112ms (compile: 26ms, proxy.ts: 8ms, render: 78ms)
 GET /test-file-size-limit 200 in 104ms (compile: 8ms, proxy.ts: 7ms, render: 89ms)
 GET / 200 in 122ms (compile: 22ms, proxy.ts: 8ms, render: 92ms)
 GET /test-file-size-limit 200 in 103ms (compile: 7ms, proxy.ts: 8ms, render: 88ms)
 GET / 200 in 137ms (compile: 20ms, proxy.ts: 8ms, render: 109ms)
 GET /test-file-size-limit 200 in 100ms (compile: 6ms, proxy.ts: 8ms, render: 85ms)
 GET / 200 in 139ms (compile: 19ms, proxy.ts: 9ms, render: 110ms)
 GET /test-file-size-limit 200 in 111ms (compile: 7ms, proxy.ts: 8ms, render: 96ms)
 GET / 200 in 120ms (compile: 19ms, proxy.ts: 10ms, render: 92ms)
 GET /test-file-size-limit 200 in 119ms (compile: 5ms, proxy.ts: 11ms, render: 103ms)
 GET / 200 in 136ms (compile: 19ms, proxy.ts: 11ms, render: 106ms)
 GET /test-file-size-limit 200 in 101ms (compile: 12ms, proxy.ts: 8ms, render: 81ms)
 GET / 200 in 102ms (compile: 25ms, proxy.ts: 9ms, render: 68ms)
○ Compiling /_not-found/page ...
 GET /api/verify-dashboard-kpis 200 in 670ms (compile: 159ms, proxy.ts: 48ms, render: 463ms)
⨯ Error: ENOENT: no such file or directory, open 'C:\Users\janpa\cd\development\fin\.next\dev\server\app\api\schema-check\[__metadata_id__]\route\app-paths-manifest.json'
    at ignore-listed frames {
  errno: -4058,
  code: 'ENOENT',
  syscall: 'open',
  path: 'C:\\Users\\janpa\\cd\\development\\fin\\.next\\dev\\server\\app\\api\\schema-check\\[__metadata_id__]\\route\\app-paths-manifest.json'
}
⨯ Error: ENOENT: no such file or directory, open 'C:\Users\janpa\cd\development\fin\.next\dev\static\development\_buildManifest.js.tmp.ielmfhb61jq'
    at ignore-listed frames {
  errno: -4058,
  code: 'ENOENT',
  syscall: 'open',
  path: 'C:\\Users\\janpa\\cd\\development\\fin\\.next\\dev\\static\\development\\_buildManifest.js.tmp.ielmfhb61jq'
}
Error: ENOENT: no such file or directory, open 'C:\Users\janpa\cd\development\fin\.next\dev\server\app\api\schema-check\[__metadata_id__]\route\app-paths-manifest.json'
    at ignore-listed frames {
  errno: -4058,
  code: 'ENOENT',
  syscall: 'open',
  path: 'C:\\Users\\janpa\\cd\\development\\fin\\.next\\dev\\server\\app\\api\\schema-check\\[__metadata_id__]\\route\\app-paths-manifest.json'
}
⨯ Error: Cannot find module '../chunks/ssr/[turbopack]_runtime.js'
Require stack:
- C:\Users\janpa\cd\development\fin\.next\dev\server\pages\_document.js
- C:\Users\janpa\cd\development\fin\node_modules\next\dist\server\require.js
- C:\Users\janpa\cd\development\fin\node_modules\next\dist\server\load-components.js
- C:\Users\janpa\cd\development\fin\node_modules\next\dist\build\utils.js
- C:\Users\janpa\cd\development\fin\node_modules\next\dist\build\swc\options.js
- C:\Users\janpa\cd\development\fin\node_modules\next\dist\build\swc\index.js
- C:\Users\janpa\cd\development\fin\node_modules\next\dist\build\next-config-ts\transpile-config.js
- C:\Users\janpa\cd\development\fin\node_modules\next\dist\server\config.js
- C:\Users\janpa\cd\development\fin\node_modules\next\dist\server\next.js
- C:\Users\janpa\cd\development\fin\node_modules\next\dist\server\lib\start-server.js
    at Object.<anonymous> (C:\Users\janpa\cd\development\fin\.next\dev\server\pages\_document.js:1:7) {
  code: 'MODULE_NOT_FOUND',
  requireStack: [Array]
}
