▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.86.37:3000
- Environments: .env.local
- Experiments (use with caution):
  ⨯ turbopackFileSystemCacheForDev

✓ Starting...
✓ Ready in 1067ms
 GET /login 200 in 34ms (compile: 5ms, proxy.ts: 5ms, render: 24ms)
 GET /login 200 in 58ms (compile: 5ms, proxy.ts: 9ms, render: 45ms)
 GET /login 200 in 53ms (compile: 4ms, proxy.ts: 6ms, render: 44ms)
 GET /login 200 in 30ms (compile: 4ms, proxy.ts: 5ms, render: 21ms)
 GET /login 200 in 44ms (compile: 12ms, proxy.ts: 6ms, render: 26ms)
 GET /login 200 in 35ms (compile: 5ms, proxy.ts: 6ms, render: 24ms)
 GET /login 200 in 29ms (compile: 3ms, proxy.ts: 6ms, render: 20ms)
 GET /login 200 in 56ms (compile: 5ms, proxy.ts: 4ms, render: 47ms)
 GET /login 200 in 62ms (compile: 4ms, proxy.ts: 7ms, render: 50ms)
 GET /login 200 in 59ms (compile: 4ms, proxy.ts: 6ms, render: 49ms)
 GET /login 200 in 59ms (compile: 4ms, proxy.ts: 6ms, render: 49ms)
 GET /login 200 in 63ms (compile: 4ms, proxy.ts: 8ms, render: 52ms)
 GET /login 200 in 36ms (compile: 4ms, proxy.ts: 7ms, render: 25ms)
 GET /login 200 in 38ms (compile: 3ms, proxy.ts: 7ms, render: 27ms)
 GET /login 200 in 56ms (compile: 5ms, proxy.ts: 7ms, render: 45ms)
 GET /login 200 in 36ms (compile: 4ms, proxy.ts: 5ms, render: 26ms)
 GET /login 200 in 35ms (compile: 4ms, proxy.ts: 6ms, render: 25ms)
 GET /login 200 in 38ms (compile: 5ms, proxy.ts: 6ms, render: 28ms)
 GET /login 200 in 38ms (compile: 5ms, proxy.ts: 6ms, render: 26ms)
 GET /login 200 in 65ms (compile: 5ms, proxy.ts: 5ms, render: 55ms)
 GET /login 200 in 64ms (compile: 4ms, proxy.ts: 5ms, render: 56ms)
 GET /login 200 in 58ms (compile: 4ms, proxy.ts: 6ms, render: 48ms)
 GET /login 200 in 62ms (compile: 3ms, proxy.ts: 8ms, render: 51ms)
 GET /login 200 in 63ms (compile: 5ms, proxy.ts: 6ms, render: 51ms)
 GET /login 200 in 60ms (compile: 5ms, proxy.ts: 9ms, render: 46ms)
 GET /login 200 in 36ms (compile: 5ms, proxy.ts: 5ms, render: 27ms)
 GET /login 200 in 35ms (compile: 5ms, proxy.ts: 5ms, render: 24ms)
 GET /login 200 in 33ms (compile: 4ms, proxy.ts: 6ms, render: 23ms)
 GET /login 200 in 56ms (compile: 6ms, proxy.ts: 6ms, render: 44ms)
 GET /login 200 in 49ms (compile: 3ms, proxy.ts: 5ms, render: 41ms)
 GET /login 200 in 29ms (compile: 4ms, proxy.ts: 6ms, render: 20ms)
 GET /login 200 in 51ms (compile: 4ms, proxy.ts: 3ms, render: 44ms)
 GET /login 200 in 35ms (compile: 4ms, proxy.ts: 6ms, render: 25ms)
 GET /login 200 in 42ms (compile: 3ms, proxy.ts: 4ms, render: 35ms)
 GET /login 200 in 42ms (compile: 4ms, proxy.ts: 5ms, render: 33ms)
 GET /login 200 in 49ms (compile: 3ms, proxy.ts: 4ms, render: 42ms)
