▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.86.37:3000
- Environments: .env.local
- Experiments (use with caution):
  ⨯ turbopackFileSystemCacheForDev

✓ Starting...
✓ Ready in 1261ms
 GET /login 200 in 204ms (compile: 11ms, proxy.ts: 14ms, render: 178ms)
 GET /test-sell-transaction 200 in 207ms (compile: 27ms, proxy.ts: 16ms, render: 163ms)
 GET /test-freedom-card 200 in 211ms (compile: 46ms, proxy.ts: 17ms, render: 148ms)
 GET /test-sell-transaction 200 in 233ms (compile: 41ms, proxy.ts: 16ms, render: 176ms)
 GET /login 200 in 235ms (compile: 17ms, proxy.ts: 15ms, render: 204ms)
 GET /test-freedom-card 200 in 239ms (compile: 61ms, proxy.ts: 18ms, render: 160ms)
 GET /login 200 in 248ms (compile: 35ms, proxy.ts: 32ms, render: 182ms)
 GET /test-sell-transaction 200 in 231ms (compile: 52ms, proxy.ts: 16ms, render: 163ms)
 GET /test-freedom-card 200 in 231ms (compile: 76ms, proxy.ts: 19ms, render: 136ms)
 GET /login 200 in 198ms (compile: 14ms, proxy.ts: 16ms, render: 167ms)
 GET /test-sell-transaction 200 in 198ms (compile: 35ms, proxy.ts: 17ms, render: 147ms)
 GET /test-freedom-card 200 in 200ms (compile: 51ms, proxy.ts: 18ms, render: 130ms)
 GET /login 200 in 183ms (compile: 14ms, proxy.ts: 15ms, render: 155ms)
 GET /test-sell-transaction 200 in 187ms (compile: 32ms, proxy.ts: 15ms, render: 140ms)
 GET /test-freedom-card 200 in 187ms (compile: 48ms, proxy.ts: 17ms, render: 121ms)
 GET /login 200 in 183ms (compile: 12ms, proxy.ts: 15ms, render: 156ms)
 GET /test-sell-transaction 200 in 184ms (compile: 26ms, proxy.ts: 18ms, render: 140ms)
 GET /test-freedom-card 200 in 183ms (compile: 44ms, proxy.ts: 18ms, render: 121ms)
 GET /login 200 in 201ms (compile: 12ms, proxy.ts: 12ms, render: 176ms)
 GET /test-sell-transaction 200 in 205ms (compile: 29ms, proxy.ts: 13ms, render: 163ms)
 GET /test-freedom-card 200 in 206ms (compile: 42ms, proxy.ts: 15ms, render: 149ms)
