▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3001
- Network:       http://192.168.86.37:3001
- Environments: .env.local
- Experiments (use with caution):
  ⨯ turbopackFileSystemCacheForDev

✓ Starting...
✓ Ready in 1104ms
 GET /test-phase-transition 200 in 59ms (compile: 3ms, proxy.ts: 7ms, render: 48ms)
 GET /test-phase-transition 200 in 37ms (compile: 4ms, proxy.ts: 8ms, render: 25ms)
 GET /test-phase-transition 200 in 59ms (compile: 5ms, proxy.ts: 6ms, render: 48ms)
 GET /test-phase-transition 200 in 59ms (compile: 5ms, proxy.ts: 6ms, render: 49ms)
 GET /test-phase-transition 200 in 63ms (compile: 4ms, proxy.ts: 6ms, render: 53ms)
 GET /test-phase-transition 200 in 60ms (compile: 3ms, proxy.ts: 7ms, render: 49ms)
 GET /test-phase-transition 200 in 61ms (compile: 4ms, proxy.ts: 8ms, render: 49ms)
 GET /test-phase-transition 200 in 61ms (compile: 5ms, proxy.ts: 9ms, render: 48ms)
 GET /test-phase-transition 200 in 62ms (compile: 5ms, proxy.ts: 6ms, render: 50ms)
 GET /test-phase-transition 200 in 71ms (compile: 5ms, proxy.ts: 5ms, render: 62ms)
 GET /test-phase-transition 200 in 76ms (compile: 14ms, proxy.ts: 8ms, render: 53ms)
 GET /test-phase-transition 200 in 68ms (compile: 5ms, proxy.ts: 8ms, render: 55ms)
 GET /test-phase-transition 200 in 59ms (compile: 4ms, proxy.ts: 12ms, render: 43ms)
 GET /test-phase-transition 200 in 54ms (compile: 3ms, proxy.ts: 5ms, render: 45ms)
 GET /test-phase-transition 200 in 34ms (compile: 4ms, proxy.ts: 8ms, render: 23ms)
 GET /test-phase-transition 200 in 53ms (compile: 6ms, proxy.ts: 4ms, render: 43ms)
 GET /test-phase-transition 200 in 54ms (compile: 4ms, proxy.ts: 4ms, render: 46ms)
 GET /test-phase-transition 200 in 54ms (compile: 4ms, proxy.ts: 7ms, render: 43ms)
 GET /test-phase-transition 200 in 32ms (compile: 4ms, proxy.ts: 5ms, render: 23ms)
