▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:4444
- Network:       http://192.168.86.37:4444
- Environments: .env.local
- Experiments (use with caution):
  ⨯ turbopackFileSystemCacheForDev

✓ Starting...
✓ Ready in 1058ms
 GET /test-sovereignty-gating 200 in 29ms (compile: 5ms, proxy.ts: 4ms, render: 19ms)
 GET /test-sovereignty-gating 200 in 29ms (compile: 3ms, proxy.ts: 4ms, render: 21ms)
 GET /test-sovereignty-gating 200 in 28ms (compile: 4ms, proxy.ts: 5ms, render: 19ms)
 GET /test-sovereignty-gating 200 in 42ms (compile: 4ms, proxy.ts: 9ms, render: 29ms)
 GET /test-sovereignty-gating 200 in 19ms (compile: 2ms, proxy.ts: 3ms, render: 14ms)
 GET /test-sovereignty-gating 200 in 27ms (compile: 3ms, proxy.ts: 3ms, render: 21ms)
 GET /test-sovereignty-gating 200 in 21ms (compile: 2ms, proxy.ts: 3ms, render: 15ms)
 GET /test-sovereignty-gating 200 in 23ms (compile: 3ms, proxy.ts: 3ms, render: 17ms)
 GET /test-sovereignty-gating 200 in 23ms (compile: 5ms, proxy.ts: 3ms, render: 14ms)
 GET /test-sovereignty-gating 200 in 27ms (compile: 4ms, proxy.ts: 3ms, render: 19ms)
 GET /test-sovereignty-gating 200 in 45ms (compile: 5ms, proxy.ts: 8ms, render: 33ms)
 GET /test-sovereignty-gating 200 in 24ms (compile: 3ms, proxy.ts: 4ms, render: 17ms)
 GET /test-sovereignty-gating 200 in 44ms (compile: 5ms, proxy.ts: 4ms, render: 35ms)
 GET /test-sovereignty-gating 200 in 33ms (compile: 4ms, proxy.ts: 5ms, render: 23ms)
 GET /test-sovereignty-gating 200 in 25ms (compile: 3ms, proxy.ts: 4ms, render: 18ms)
 GET /test-sovereignty-gating 200 in 28ms (compile: 4ms, proxy.ts: 3ms, render: 21ms)
 GET /test-sovereignty-gating 200 in 24ms (compile: 3ms, proxy.ts: 5ms, render: 16ms)
 GET /test-sovereignty-gating 200 in 23ms (compile: 2ms, proxy.ts: 3ms, render: 18ms)
 GET /test-sovereignty-gating 200 in 26ms (compile: 3ms, proxy.ts: 4ms, render: 20ms)
 GET /test-sovereignty-gating 200 in 36ms (compile: 5ms, proxy.ts: 4ms, render: 27ms)
 GET /test-sovereignty-gating 200 in 20ms (compile: 3ms, proxy.ts: 3ms, render: 14ms)
 GET /test-sovereignty-gating 200 in 27ms (compile: 3ms, proxy.ts: 4ms, render: 20ms)
 GET /test-sovereignty-gating 200 in 30ms (compile: 4ms, proxy.ts: 5ms, render: 21ms)
 GET /test-sovereignty-gating 200 in 31ms (compile: 4ms, proxy.ts: 5ms, render: 23ms)
 GET /test-sovereignty-gating 200 in 32ms (compile: 4ms, proxy.ts: 7ms, render: 21ms)
 GET /test-sovereignty-gating 200 in 30ms (compile: 3ms, proxy.ts: 4ms, render: 23ms)
 GET /test-sovereignty-gating 200 in 35ms (compile: 6ms, proxy.ts: 5ms, render: 25ms)
 GET /test-sovereignty-gating 200 in 51ms (compile: 5ms, proxy.ts: 4ms, render: 41ms)
 GET /test-sovereignty-gating 200 in 32ms (compile: 3ms, proxy.ts: 6ms, render: 23ms)
 GET /test-sovereignty-gating 200 in 30ms (compile: 5ms, proxy.ts: 5ms, render: 21ms)
 GET /test-sovereignty-gating 200 in 29ms (compile: 5ms, proxy.ts: 5ms, render: 20ms)
 GET /test-sovereignty-gating 200 in 30ms (compile: 5ms, proxy.ts: 4ms, render: 21ms)
 GET /test-sovereignty-gating 200 in 28ms (compile: 4ms, proxy.ts: 6ms, render: 17ms)
 GET /test-sovereignty-gating 200 in 27ms (compile: 3ms, proxy.ts: 4ms, render: 21ms)
 GET /test-sovereignty-gating 200 in 26ms (compile: 5ms, proxy.ts: 5ms, render: 17ms)
 GET /test-sovereignty-gating 200 in 36ms (compile: 3ms, proxy.ts: 5ms, render: 28ms)
 GET /test-sovereignty-gating 200 in 30ms (compile: 3ms, proxy.ts: 5ms, render: 22ms)
 GET /test-sovereignty-gating 200 in 32ms (compile: 5ms, proxy.ts: 5ms, render: 22ms)
 GET /test-sovereignty-gating 200 in 28ms (compile: 5ms, proxy.ts: 5ms, render: 19ms)
 GET /test-sovereignty-gating 200 in 28ms (compile: 3ms, proxy.ts: 6ms, render: 19ms)
 GET /test-sovereignty-gating 200 in 24ms (compile: 3ms, proxy.ts: 4ms, render: 17ms)
 GET /test-sovereignty-gating 200 in 30ms (compile: 3ms, proxy.ts: 5ms, render: 21ms)
 GET /test-sovereignty-gating 200 in 27ms (compile: 3ms, proxy.ts: 4ms, render: 21ms)
 GET /test-sovereignty-gating 200 in 29ms (compile: 6ms, proxy.ts: 5ms, render: 19ms)
 GET /test-sovereignty-gating 200 in 25ms (compile: 3ms, proxy.ts: 4ms, render: 17ms)
 GET /test-sovereignty-gating 200 in 28ms (compile: 2ms, proxy.ts: 5ms, render: 21ms)
 GET /test-sovereignty-gating 200 in 50ms (compile: 4ms, proxy.ts: 5ms, render: 41ms)
 GET /test-sovereignty-gating 200 in 35ms (compile: 5ms, proxy.ts: 5ms, render: 25ms)
 GET /test-sovereignty-gating 200 in 46ms (compile: 4ms, proxy.ts: 5ms, render: 37ms)
 GET /test-sovereignty-gating 200 in 31ms (compile: 3ms, proxy.ts: 4ms, render: 23ms)
 GET /test-sovereignty-gating 200 in 24ms (compile: 4ms, proxy.ts: 5ms, render: 15ms)
 GET /test-sovereignty-gating 200 in 29ms (compile: 3ms, proxy.ts: 4ms, render: 22ms)
 GET /test-sovereignty-gating 200 in 23ms (compile: 3ms, proxy.ts: 3ms, render: 17ms)
 GET /test-sovereignty-gating 200 in 28ms (compile: 3ms, proxy.ts: 3ms, render: 22ms)
 GET /test-sovereignty-gating 200 in 27ms (compile: 3ms, proxy.ts: 5ms, render: 20ms)
 GET /test-sovereignty-gating 200 in 36ms (compile: 3ms, proxy.ts: 4ms, render: 29ms)
 GET /test-sovereignty-gating 200 in 22ms (compile: 2ms, proxy.ts: 3ms, render: 17ms)
 GET /test-sovereignty-gating 200 in 39ms (compile: 3ms, proxy.ts: 4ms, render: 32ms)
 GET /test-sovereignty-gating 200 in 26ms (compile: 3ms, proxy.ts: 4ms, render: 19ms)
 GET /test-sovereignty-gating 200 in 29ms (compile: 6ms, proxy.ts: 3ms, render: 20ms)
 GET /test-sovereignty-gating 200 in 20ms (compile: 3ms, proxy.ts: 3ms, render: 14ms)
 GET /test-sovereignty-gating 200 in 22ms (compile: 1996µs, proxy.ts: 3ms, render: 16ms)
 GET /test-sovereignty-gating 200 in 23ms (compile: 3ms, proxy.ts: 3ms, render: 17ms)
 GET /test-sovereignty-gating 200 in 37ms (compile: 5ms, proxy.ts: 3ms, render: 29ms)
 GET /test-sovereignty-gating 200 in 24ms (compile: 4ms, proxy.ts: 4ms, render: 16ms)
 GET /test-sovereignty-gating 200 in 26ms (compile: 2ms, proxy.ts: 6ms, render: 17ms)
 GET /test-sovereignty-gating 200 in 26ms (compile: 3ms, proxy.ts: 4ms, render: 18ms)
 GET /test-sovereignty-gating 200 in 32ms (compile: 2ms, proxy.ts: 3ms, render: 26ms)
 GET /test-sovereignty-gating 200 in 39ms (compile: 3ms, proxy.ts: 5ms, render: 32ms)
 GET /test-sovereignty-gating 200 in 22ms (compile: 2ms, proxy.ts: 3ms, render: 16ms)
 GET /test-sovereignty-gating 200 in 54ms (compile: 3ms, proxy.ts: 3ms, render: 48ms)
 GET /test-sovereignty-gating 200 in 34ms (compile: 5ms, proxy.ts: 5ms, render: 24ms)
 GET /test-sovereignty-gating 200 in 29ms (compile: 5ms, proxy.ts: 6ms, render: 18ms)
 GET /test-sovereignty-gating 200 in 27ms (compile: 4ms, proxy.ts: 4ms, render: 19ms)
 GET /test-sovereignty-gating 200 in 44ms (compile: 4ms, proxy.ts: 4ms, render: 35ms)
 GET /test-sovereignty-gating 200 in 45ms (compile: 3ms, proxy.ts: 7ms, render: 35ms)
 GET /test-sovereignty-gating 200 in 27ms (compile: 2ms, proxy.ts: 3ms, render: 21ms)
 GET /test-sovereignty-gating 200 in 30ms (compile: 5ms, proxy.ts: 4ms, render: 20ms)
 GET /test-sovereignty-gating 200 in 27ms (compile: 4ms, proxy.ts: 5ms, render: 18ms)
 GET /test-sovereignty-gating 200 in 28ms (compile: 4ms, proxy.ts: 4ms, render: 20ms)
 GET /test-sovereignty-gating 200 in 29ms (compile: 4ms, proxy.ts: 5ms, render: 20ms)
 GET /test-sovereignty-gating 200 in 30ms (compile: 3ms, proxy.ts: 5ms, render: 22ms)
 GET /test-sovereignty-gating 200 in 30ms (compile: 5ms, proxy.ts: 5ms, render: 21ms)
 GET /test-sovereignty-gating 200 in 40ms (compile: 3ms, proxy.ts: 6ms, render: 31ms)
 GET /test-sovereignty-gating 200 in 27ms (compile: 3ms, proxy.ts: 4ms, render: 19ms)
 GET /test-sovereignty-gating 200 in 23ms (compile: 3ms, proxy.ts: 4ms, render: 16ms)
 GET /test-sovereignty-gating 200 in 28ms (compile: 3ms, proxy.ts: 6ms, render: 19ms)
 GET /test-sovereignty-gating 200 in 24ms (compile: 3ms, proxy.ts: 4ms, render: 17ms)
 GET /test-sovereignty-gating 200 in 30ms (compile: 3ms, proxy.ts: 4ms, render: 22ms)
 GET /test-sovereignty-gating 200 in 27ms (compile: 3ms, proxy.ts: 5ms, render: 19ms)
 GET /test-sovereignty-gating 200 in 24ms (compile: 3ms, proxy.ts: 3ms, render: 17ms)
 GET /test-sovereignty-gating 200 in 50ms (compile: 4ms, proxy.ts: 5ms, render: 41ms)
 GET /test-sovereignty-gating 200 in 27ms (compile: 3ms, proxy.ts: 5ms, render: 18ms)
 GET /test-sovereignty-gating 200 in 30ms (compile: 5ms, proxy.ts: 5ms, render: 21ms)
 GET /test-sovereignty-gating 200 in 27ms (compile: 4ms, proxy.ts: 4ms, render: 19ms)
