▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.86.37:3000
- Environments: .env.local
- Experiments (use with caution):
  ⨯ turbopackFileSystemCacheForDev

✓ Starting...
✓ Ready in 1064ms
 GET /test-fire-scenarios 200 in 60ms (compile: 5ms, proxy.ts: 6ms, render: 49ms)
 GET /test-fire-scenarios 200 in 62ms (compile: 5ms, proxy.ts: 5ms, render: 52ms)
 GET /test-fire-scenarios 200 in 37ms (compile: 4ms, proxy.ts: 7ms, render: 26ms)
 GET /test-fire-scenarios 200 in 46ms (compile: 5ms, proxy.ts: 5ms, render: 36ms)
 GET /test-fire-scenarios 200 in 49ms (compile: 7ms, proxy.ts: 15ms, render: 27ms)
 GET /test-fire-scenarios 200 in 30ms (compile: 5ms, proxy.ts: 5ms, render: 20ms)
 GET /test-fire-scenarios 200 in 48ms (compile: 4ms, proxy.ts: 6ms, render: 39ms)
 GET /test-fire-scenarios 200 in 33ms (compile: 3ms, proxy.ts: 4ms, render: 26ms)
 GET /test-fire-scenarios 200 in 30ms (compile: 4ms, proxy.ts: 6ms, render: 19ms)
 GET /test-fire-scenarios 200 in 34ms (compile: 4ms, proxy.ts: 6ms, render: 24ms)
 GET /test-fire-scenarios 200 in 34ms (compile: 5ms, proxy.ts: 7ms, render: 22ms)
 GET /test-fire-scenarios 200 in 34ms (compile: 6ms, proxy.ts: 5ms, render: 24ms)
 GET /test-fire-scenarios 200 in 33ms (compile: 4ms, proxy.ts: 6ms, render: 23ms)
 GET /test-fire-scenarios 200 in 50ms (compile: 5ms, proxy.ts: 6ms, render: 39ms)
 GET /test-fire-scenarios 200 in 34ms (compile: 3ms, proxy.ts: 4ms, render: 27ms)
 GET /test-fire-scenarios 200 in 48ms (compile: 4ms, proxy.ts: 6ms, render: 38ms)
 GET /test-fire-scenarios 200 in 33ms (compile: 4ms, proxy.ts: 4ms, render: 25ms)
 GET /test-fire-scenarios 200 in 28ms (compile: 3ms, proxy.ts: 5ms, render: 20ms)
 GET /test-fire-scenarios 200 in 33ms (compile: 4ms, proxy.ts: 4ms, render: 25ms)
 GET /test-fire-scenarios 200 in 70ms (compile: 5ms, proxy.ts: 6ms, render: 59ms)
 GET /test-fire-scenarios 200 in 64ms (compile: 15ms, proxy.ts: 7ms, render: 42ms)
 GET /test-fire-scenarios 200 in 37ms (compile: 4ms, proxy.ts: 8ms, render: 26ms)
 GET /test-fire-scenarios 200 in 71ms (compile: 4ms, proxy.ts: 6ms, render: 60ms)
 GET /test-fire-scenarios 200 in 60ms (compile: 4ms, proxy.ts: 6ms, render: 50ms)
 GET /test-fire-scenarios 200 in 61ms (compile: 6ms, proxy.ts: 6ms, render: 49ms)
 GET /test-fire-scenarios 200 in 37ms (compile: 4ms, proxy.ts: 6ms, render: 27ms)
 GET /test-fire-scenarios 200 in 34ms (compile: 4ms, proxy.ts: 6ms, render: 23ms)
 GET /test-fire-scenarios 200 in 34ms (compile: 5ms, proxy.ts: 5ms, render: 23ms)
 GET /test-fire-scenarios 200 in 35ms (compile: 4ms, proxy.ts: 5ms, render: 26ms)
 GET /test-fire-scenarios 200 in 36ms (compile: 4ms, proxy.ts: 7ms, render: 26ms)
 GET /test-fire-scenarios 200 in 51ms (compile: 5ms, proxy.ts: 5ms, render: 41ms)
 GET /test-fire-scenarios 200 in 33ms (compile: 3ms, proxy.ts: 5ms, render: 25ms)
 GET /test-fire-scenarios 200 in 62ms (compile: 4ms, proxy.ts: 6ms, render: 52ms)
 GET /test-fire-scenarios 200 in 45ms (compile: 5ms, proxy.ts: 8ms, render: 32ms)
 GET /test-fire-scenarios 200 in 45ms (compile: 5ms, proxy.ts: 6ms, render: 33ms)
 GET /test-fire-scenarios 200 in 38ms (compile: 5ms, proxy.ts: 6ms, render: 28ms)
 GET /test-fire-scenarios 200 in 50ms (compile: 5ms, proxy.ts: 7ms, render: 38ms)
 GET /test-fire-scenarios 200 in 35ms (compile: 4ms, proxy.ts: 6ms, render: 25ms)
 GET /test-fire-scenarios 200 in 32ms (compile: 4ms, proxy.ts: 6ms, render: 21ms)
 GET /test-fire-scenarios 200 in 55ms (compile: 5ms, proxy.ts: 4ms, render: 45ms)
 GET /test-fire-scenarios 200 in 58ms (compile: 3ms, proxy.ts: 5ms, render: 50ms)
 GET /test-fire-scenarios 200 in 63ms (compile: 4ms, proxy.ts: 7ms, render: 52ms)
 GET /test-fire-scenarios 200 in 69ms (compile: 5ms, proxy.ts: 7ms, render: 58ms)
 GET /test-fire-scenarios 200 in 75ms (compile: 7ms, proxy.ts: 7ms, render: 62ms)
 GET /test-fire-scenarios 200 in 42ms (compile: 8ms, proxy.ts: 8ms, render: 27ms)
 GET /test-fire-scenarios 200 in 37ms (compile: 4ms, proxy.ts: 6ms, render: 27ms)
 GET /test-fire-scenarios 200 in 37ms (compile: 5ms, proxy.ts: 6ms, render: 27ms)
 GET /test-fire-scenarios 200 in 32ms (compile: 4ms, proxy.ts: 6ms, render: 22ms)
 GET /test-fire-scenarios 200 in 32ms (compile: 5ms, proxy.ts: 4ms, render: 23ms)
 GET /test-fire-scenarios 200 in 31ms (compile: 4ms, proxy.ts: 5ms, render: 23ms)
 GET /test-fire-scenarios 200 in 56ms (compile: 6ms, proxy.ts: 5ms, render: 46ms)
 GET /test-fire-scenarios 200 in 58ms (compile: 4ms, proxy.ts: 4ms, render: 49ms)
 GET /test-fire-scenarios 200 in 75ms (compile: 4ms, proxy.ts: 5ms, render: 65ms)
 GET /test-fire-scenarios 200 in 64ms (compile: 6ms, proxy.ts: 5ms, render: 53ms)
 GET /test-fire-scenarios 200 in 63ms (compile: 5ms, proxy.ts: 6ms, render: 52ms)
 GET /test-fire-scenarios 200 in 41ms (compile: 6ms, proxy.ts: 6ms, render: 29ms)
 GET /test-fire-scenarios 200 in 72ms (compile: 7ms, proxy.ts: 5ms, render: 60ms)
 GET /test-fire-scenarios 200 in 71ms (compile: 11ms, proxy.ts: 7ms, render: 53ms)
 GET /test-fire-scenarios 200 in 63ms (compile: 4ms, proxy.ts: 7ms, render: 52ms)
 GET /test-fire-scenarios 200 in 40ms (compile: 5ms, proxy.ts: 6ms, render: 28ms)
 GET /test-fire-scenarios 200 in 40ms (compile: 5ms, proxy.ts: 6ms, render: 29ms)
 GET /test-fire-scenarios 200 in 38ms (compile: 6ms, proxy.ts: 6ms, render: 26ms)
 GET /test-fire-scenarios 200 in 36ms (compile: 6ms, proxy.ts: 6ms, render: 25ms)
 GET /test-fire-scenarios 200 in 34ms (compile: 5ms, proxy.ts: 5ms, render: 25ms)
 GET /test-fire-scenarios 200 in 34ms (compile: 5ms, proxy.ts: 7ms, render: 22ms)
 GET /test-fire-scenarios 200 in 32ms (compile: 6ms, proxy.ts: 4ms, render: 22ms)
 GET /test-fire-scenarios 200 in 32ms (compile: 4ms, proxy.ts: 4ms, render: 24ms)
 GET /test-fire-scenarios 200 in 33ms (compile: 6ms, proxy.ts: 5ms, render: 22ms)
 GET /test-fire-scenarios 200 in 48ms (compile: 5ms, proxy.ts: 5ms, render: 39ms)
 GET /test-fire-scenarios 200 in 46ms (compile: 7ms, proxy.ts: 15ms, render: 24ms)
 GET /test-fire-scenarios 200 in 33ms (compile: 4ms, proxy.ts: 4ms, render: 24ms)
 GET /test-fire-scenarios 200 in 35ms (compile: 4ms, proxy.ts: 6ms, render: 24ms)
 GET /test-fire-scenarios 200 in 33ms (compile: 5ms, proxy.ts: 5ms, render: 23ms)
 GET /test-fire-scenarios 200 in 31ms (compile: 3ms, proxy.ts: 4ms, render: 24ms)
 GET /test-fire-scenarios 200 in 35ms (compile: 5ms, proxy.ts: 5ms, render: 25ms)
 GET /test-fire-scenarios 200 in 35ms (compile: 5ms, proxy.ts: 6ms, render: 25ms)
 GET /test-fire-scenarios 200 in 35ms (compile: 4ms, proxy.ts: 5ms, render: 27ms)
 GET /test-fire-scenarios 200 in 34ms (compile: 4ms, proxy.ts: 7ms, render: 23ms)
 GET /test-fire-scenarios 200 in 36ms (compile: 5ms, proxy.ts: 4ms, render: 27ms)
 GET /test-fire-scenarios 200 in 39ms (compile: 4ms, proxy.ts: 8ms, render: 27ms)
 GET /test-fire-scenarios 200 in 33ms (compile: 4ms, proxy.ts: 8ms, render: 22ms)
 GET /test-fire-scenarios 200 in 38ms (compile: 4ms, proxy.ts: 4ms, render: 29ms)
 GET /test-fire-scenarios 200 in 34ms (compile: 4ms, proxy.ts: 5ms, render: 25ms)
 GET /test-fire-scenarios 200 in 31ms (compile: 4ms, proxy.ts: 5ms, render: 22ms)
 GET /test-fire-scenarios 200 in 35ms (compile: 6ms, proxy.ts: 5ms, render: 24ms)
 GET /test-fire-scenarios 200 in 41ms (compile: 4ms, proxy.ts: 5ms, render: 33ms)
 GET /test-fire-scenarios 200 in 33ms (compile: 4ms, proxy.ts: 5ms, render: 23ms)
 GET /test-fire-scenarios 200 in 35ms (compile: 4ms, proxy.ts: 6ms, render: 25ms)
 GET /test-fire-scenarios 200 in 30ms (compile: 5ms, proxy.ts: 5ms, render: 20ms)
 GET /test-fire-scenarios 200 in 58ms (compile: 3ms, proxy.ts: 5ms, render: 50ms)
 GET /test-fire-scenarios 200 in 41ms (compile: 5ms, proxy.ts: 7ms, render: 29ms)
 GET /test-fire-scenarios 200 in 39ms (compile: 5ms, proxy.ts: 6ms, render: 28ms)
 GET /test-fire-scenarios 200 in 60ms (compile: 6ms, proxy.ts: 6ms, render: 49ms)
 GET /test-fire-scenarios 200 in 38ms (compile: 5ms, proxy.ts: 6ms, render: 28ms)
 GET /test-fire-scenarios 200 in 35ms (compile: 5ms, proxy.ts: 5ms, render: 25ms)
 GET /test-fire-scenarios 200 in 35ms (compile: 4ms, proxy.ts: 5ms, render: 26ms)
 GET /test-fire-scenarios 200 in 33ms (compile: 4ms, proxy.ts: 6ms, render: 24ms)
 GET /test-fire-scenarios 200 in 35ms (compile: 5ms, proxy.ts: 4ms, render: 25ms)
 GET /test-fire-scenarios 200 in 101ms (compile: 5ms, proxy.ts: 5ms, render: 91ms)
 GET /test-fire-scenarios 200 in 78ms (compile: 11ms, proxy.ts: 8ms, render: 58ms)
 GET /test-fire-scenarios 200 in 73ms (compile: 4ms, proxy.ts: 7ms, render: 62ms)
 GET /test-fire-scenarios 200 in 75ms (compile: 4ms, proxy.ts: 9ms, render: 62ms)
 GET /test-fire-scenarios 200 in 39ms (compile: 5ms, proxy.ts: 6ms, render: 28ms)
